Player,Team,Pos,Current ADP
Curtis Samuel,WAS,WR,234.5
Deuce Vaughn,DAL,RB,234.8
New York Giants,DST,DS,214
Los Angeles Chargers,DST,DS,214
Minnesota Vikings,DST,DS,214.7
Isaiah Hodgins,NYG,WR,236.5
Greg Joseph,MIN,K1,216
Detroit Lions,DST,DS,216.3
Jerome Ford,CLE,RB,177.5
Tampa Bay Buccaneers,DST,DS,218.3
Luke Musgrave,GB,TE,239
Chase Brown,CIN,RB,219
Justyn Ross,KC,WR,239.5
Ryan Tannehill,TEN,QB,239.8
Parris Campbell,NYG,WR,220
Alec Pierce,IND,WR,220.3
Michael Carter,NYJ,RB,223
Rashid Shaheed,NO,WR,227.7
Chris Boswell,PIT,K1,192
Riley Patterson,DET,K2,192.5
Wil Lutz,NO,K2,229.7
Jake Ferguson,DAL,TE,247.3
Zamir White,LV,RB,198.5
Carolina Panthers,DST,DS,232.3
Noah Fant,SEA,TE,232.7
Marvin Mims Jr.,DEN,WR,235
Mecole Hardman Jr.,NYJ,WR,251.5
Tank Dell,HOU,WR,255.8
Chicago Bears,DST,DS,237.7
DeVante Parker,NE,WR,237.7
Indianapolis Colts,DST,DS,241.7
Van Jefferson,LAR,WR,215
Los Angeles Rams,DST,DS,216
Tim Patrick,DEN,WR,224.5
Tennessee Titans,DST,DS,224.5
Tristan Vizcaino,DAL,K2,249.7
Brett Maher,DEN,K2,225.5
Joshua Kelley,LAC,RB,226
Desmond Ridder,ATL,QB,250.7
Cade York,CLE,K2,251
Baker Mayfield,TB,QB,251.3
Zach Evans,LAR,RB,228
Trey Lance,SF,QB,254
Logan Thomas,WAS,TE,265.5
Wan'Dale Robinson,NYG,WR,231.5
Jelani Woods,IND,TE,265.8
Las Vegas Raiders,DST,DS,232
Darius Slayton,NYG,WR,255
Isaiah Likely,BAL,TE,305.8
James Robinson,NYG,RB,286.3
Chase Edmonds,TB,RB,237.5
Ty Chandler,MIN,RB,238.5
Michael Badgley,WAS,K2,330.5
Atlanta Falcons,DST,DS,241.5
Chase McLaughlin,TB,K2,242.5
Matt Prater,ARI,K2,261.7
Cairo Santos,CHI,K2,194
Pierre Strong Jr.,NE,RB,247
Richie James Jr.,KC,WR,264.7
Robert Woods,HOU,WR,265.3
Terrace Marshall Jr.,CAR,WR,249
Trey McBride,ARI,TE,249.5
Darnell Washington,PIT,TE,267
Deon Jackson,IND,RB,203
Josh Downs,IND,WR,252.5
Arizona Cardinals,DST,DS,255.5
Jarvis Landry,,WR,213
Israel Abanikanda,NYJ,RB,287.3
Houston Texans,DST,DS,258
Evan Hull,IND,RB,259.5
Latavius Murray,BUF,RB,260.5
Zack Moss,IND,RB,263.5
Kyle Juszczyk,SF,RB,264
Allen Robinson II,PIT,WR,264.5
DeWayne McBride,MIN,RB,291
Anders Carlson,GB,K2,266.5
Marvin Jones Jr.,DET,WR,267
Tom Brady,,QB,235
Cade Otton,TB,TE,268
Ka'imi Fairbairn,HOU,K3,294
Malik Davis,DAL,RB,271
Joshua Palmer,LAC,WR,280.7
Matt Breida,NYG,RB,273.5
Chad Ryland,NE,K3,274
Quez Watkins,PHI,WR,274.5
Khalil Shakir,BUF,WR,250
D'Ernest Johnson,JAC,RB,251
Puka Nacua,LAR,WR,251
Keaontay Ingram,ARI,RB,277
Christopher Dunn,,K3,256
Kenny McIntosh,SEA,RB,257
Ben Roethlisberger,,QB,258
Tyquan Thornton,NE,WR,259
Kyren Williams,LAR,RB,279.5
Dustin Hopkins,LAC,K3,279.5
Robert Tonyan,CHI,TE,286
Deneric Prince,KC,RB,310
Tucker Kraft,GB,TE,281
Eric Gray,NYG,RB,290
Antonio Brown,,WR,266
Trace McSorley,NE,QB,267
Bryce Perkins,,QB,268
Chris Naggar,,K3,269
Michael Wilson,ARI,WR,269
Rodrigo Blankenship,TB,K3,270
Greg Dortch,ARI,WR,271
Marcus Mariota,PHI,QB,272
Stetson Bennett,LAR,QB,273
Joey Slye,WAS,K3,286.5
Cedric Tillman,CLE,WR,323.5
Rob Gronkowski,,TE,274
Corey Davis,NYJ,WR,288
Jordan Mason,SF,RB,307.5
Noah Gray,KC,TE,293.3
Melvin Gordon III,BAL,RB,316.5
Mason Crosby,,K3,278
Sean Tucker,TB,RB,289
Jimmy Graham,NO,TE,279
Will Dissly,SEA,TE,328
Durham Smythe,MIA,TE,281
Luke Schoonmaker,DAL,TE,290.5
Daniel Bellinger,NYG,TE,290.5
Boston Scott,PHI,RB,291.5
Robbie Gould,,K3,283
Mack Hollins,ATL,WR,283
Josh Reynolds,DET,WR,291.5
Randall Cobb,NYJ,WR,285
Trayveon Williams,CIN,RB,285
Isaiah McKenzie,IND,WR,287
Ke'Shawn Vaughn,TB,RB,288
Zach Wilson,NYJ,QB,289
Jermar Jefferson,DET,RB,290
Calvin Austin III,PIT,WR,295
Xavier Hutchinson,HOU,WR,391
Russell Gage,TB,WR,291
Nick Sciba,,K3,292
Chris Rodriguez Jr.,WAS,RB,293
Tanner Brown,LAR,K4,294
Will Levis,TEN,QB,344
Jauan Jennings,SF,WR,296
Kyle Trask,TB,QB,296
Hendon Hooker,DET,QB,296
Foster Moreau,NO,TE,297
Sterling Shepard,NYG,WR,298
Dee Eskridge,SEA,WR,298
Justin Watson,KC,WR,299
Kayshon Boutte,NE,WR,363.5
Carson Strong,,QB,300
Cam Newton,,QB,301
Connor Heyward,PIT,TE,304
Dontayvion Wicks,GB,WR,305
Ben DiNucci,DEN,QB,306
Olamide Zaccheaus,PHI,WR,307
Sean Clifford,GB,QB,308
Drew Lock,SEA,QB,309
Devin Duvernay,BAL,WR,309.5
Ray-Ray McCloud III,SF,WR,310
Mike White,MIA,QB,312
Robbie Chosen,MIA,WR,314
Dan Arnold,PHI,TE,315
Brock Wright,DET,TE,317
Julio Jones,,WR,318
J.J. Taylor,NE,RB,320
Trenton Irwin,CIN,WR,321
Mitch Trubisky,PIT,QB,322
Deonte Harty,BUF,WR,323
James McCourt,JAC,K4,324
River Cracraft,MIA,WR,325
Charlie Jones,CIN,WR,326
Chris Evans,CIN,RB,327
Keith Kirkwood,NO,WR,328
Tyrod Taylor,NYG,QB,329
Cole Beasley,NYG,WR,330
Kurt Benkert,,QB,331
Caleb Shudak,TEN,K4,332
Gunner Olszewski,PIT,WR,333
Adrian Peterson,,RB,334
Binjimen Victor,,WR,335
Peyton Hendershot,DAL,TE,336
Kalif Raymond,DET,WR,337
Equanimeous St. Brown,CHI,WR,338
Tommy Tremble,CAR,TE,340
C.J. Uzomah,NYJ,TE,341
Bailey Zappe,NE,QB,342
Dareke Young,SEA,WR,343
Mo Alie-Cox,IND,TE,344
Gardner Minshew II,IND,QB,345
Elliott Fry,DEN,K4,346
Jonnu Smith,ATL,TE,348
Trevor Siemian,CIN,QB,350
Roger Carter Jr.,,TE,352
Harrison Bryant,CLE,TE,353
Cooper Rush,DAL,QB,354
Zane Gonzalez,SF,K4,355
Derek Watt,,RB,357
Jameis Winston,NO,QB,358
Matt Barkley,BUF,QB,359
Nelson Agholor,BAL,WR,361
KaVontae Turpin,DAL,WR,362
Taylor Heinicke,ATL,QB,363
Jarrett Stidham,DEN,QB,364
Joshua Dobbs,CLE,QB,365
P.J. Walker,CHI,QB,366
Tyrion Davis-Price,SF,RB,367
Scott Miller,ATL,WR,368
Samori Toure,GB,WR,369
Denzel Mims,DET,WR,370
Tyler Huntley,BAL,QB,371
Justin Shorter,BUF,WR,373
Trent Sherfield,BUF,WR,375
Danny Gray,SF,WR,377
Andy Dalton,CAR,QB,378
Stanley Berryhill III,DET,WR,379
Trey Sermon,PHI,RB,380
Cameron Latu,SF,TE,381
Colby Parkinson,SEA,TE,382
Shi Smith,CAR,WR,384
Josiah Deguara,GB,TE,385
Mason Rudolph,PIT,QB,386
Donald Parham Jr.,LAC,TE,387
Velus Jones Jr.,CHI,WR,388
Ryan Fitzpatrick,,QB,389
Easton Stick,LAC,QB,390
Hakeem Butler,PIT,WR,391
Brycen Hopkins,LAR,TE,392
Laquon Treadwell,BAL,WR,393
Albert Okwuegbunam,DEN,TE,395
Kyle Philips,TEN,WR,396
Matt Ryan,,QB,397
Tyler Kroft,MIA,TE,398
Le'Veon Bell,,RB,399
John Bates,WAS,TE,400
Blake Bell,KC,TE,401
Anthony McFarland Jr.,PIT,RB,402
C.J. Ham,MIN,RB,403
Josh Oliver,MIN,TE,404
Cedrick Wilson Jr.,MIA,WR,405
Reid Sinnett,CIN,QB,406
Jason Brownlee,NYJ,WR,407
Andy Isabella,BUF,WR,408
Lirim Hajrullahu,,K4,409
D'Vonte Price,,RB,410
Jalen Reagor,MIN,WR,411
Mike Glennon,,QB,412
Jalen Wydermyer,,TE,413
Dyami Brown,WAS,WR,414
Craig Reynolds,DET,RB,415
Justice Hill,BAL,RB,416
Brandon Powell,MIN,WR,417
Tyler Scott,CHI,WR,418
Larry Rountree III,LAC,RB,419
Nick Mullens,MIN,QB,420
Tre Tucker,LV,WR,421
C.J. Beathard,JAC,QB,422
Noah Brown,HOU,WR,423
Jalen Tolbert,DAL,WR,424
Drew Sample,CIN,TE,425
Kendall Hinton,DEN,WR,426
Kyle Allen,BUF,QB,427
Darrell Henderson Jr.,,RB,429
Patrick Ricard,BAL,RB,430
Matthew Slater,NE,WR,431
Demario Douglas,NE,WR,432
David Bell,CLE,WR,433
John Ross,,WR,434
Jeremy Ruckert,NYJ,TE,435
DeeJay Dallas,SEA,RB,436
Max Duggan,LAC,QB,437
Dante Pettis,CHI,WR,438
Alec Ingold,MIA,RB,439
Zander Horvath,LAC,RB,440
Britain Covey,PHI,WR,441
Dorian Thompson-Robinson,CLE,QB,442
Daurice Fountain,CHI,WR,443
Nathan Peterman,CHI,QB,444
Tre'Quan Smith,NO,WR,445
Trent Taylor,CIN,WR,446
Jonathan Garibay,,K4,447
Daniel Helm,DET,TE,448
Jalen Guyton,LAC,WR,449
Malik Willis,TEN,QB,450
Jordan Akins,CLE,TE,451
Marquise Goodwin,CLE,WR,452
Jaylen Samuels,,RB,454
Tre' McKitty,LAC,TE,455
Brenton Strange,JAC,TE,456
Jack Stoll,PHI,TE,457
Lew Nichols III,GB,RB,458
Josh Johnson,BAL,QB,459
Lil'Jordan Humphrey,DEN,WR,460
Adam Trautman,DEN,TE,461
James Mitchell,DET,TE,462
Tyler Badie,DEN,RB,463
Jared Bernhardt,,WR,464
Frank Darby,ATL,WR,465
Mataeo Durant,,RB,466
James Washington,NO,WR,467
Grant DuBose,GB,WR,468
Myles Gaskin,MIA,RB,470
Devontae Booker,,RB,471
Miles Boykin,PIT,WR,472
KhaDarel Hodge,ATL,WR,473
Josh Lambo,,K4,474
J.J. Arcega-Whiteside,ATL,WR,475
Jody Fortson,KC,TE,476
Charlie Kolar,BAL,TE,477
Tyrie Cleveland,PHI,WR,478
Ryan Succop,,K4,479
Brandon Allen,SF,QB,480
David Moore,TB,WR,481
Eric Saubert,MIA,TE,482
Grant Calcaterra,PHI,TE,484
Ian Thomas,CAR,TE,485
Ian Book,PHI,QB,486
Nakia Griffin-Stewart,,TE,487
Jake Funk,IND,RB,488
Breshad Perriman,IND,WR,489
Darwin Thompson,,RB,490
Byron Pringle,WAS,WR,491
Nate McCrary,,RB,493
Skylar Thompson,MIA,QB,494
Josh Rosen,,QB,495
Patrick Taylor Jr.,GB,RB,496
John FitzPatrick,ATL,TE,497
Cody Parkey,,K4,498
Derius Davis,LAC,WR,499
Jamison Crowder,NYG,WR,500
